country_name,reporting_year,mean,median,gini,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,Mean - Median (skewness indicator),Remarks
India,1977,3.18316899,2.690413655,0.296878215,0.039145628,0.051751774,0.061908889,0.071031355,0.079944753,0.089418661,0.100482171,0.115166652,0.139570812,0.251579305,0.492755335,Meanslight right-skewness.
India,1983,3.404901244,2.971730054,0.272036776,0.041503827,0.054051467,0.064308253,0.073564467,0.082629182,0.092247747,0.103408351,0.118104378,0.142104759,0.22807757,0.43317119,Meanskewness slightly reduced.
India,1987,3.422794862,2.943442717,0.27531005,0.042892405,0.054495735,0.064077371,0.072854035,0.081524754,0.090797016,0.101635237,0.116030353,0.139904909,0.235788186,0.479352145,Meanright-skewed income distribution.
India,1993,3.559334247,3.07805791,0.261098115,0.044226375,0.057956747,0.066406203,0.074162249,0.082222814,0.091136456,0.101713723,0.116180042,0.14017966,0.225815731,0.481276337,Mean persistent right-skewness.
India,2004,3.704647277,3.111207217,0.276820664,0.044003461,0.056480314,0.064391434,0.071985956,0.079860053,0.088571704,0.099384931,0.114556319,0.139643196,0.241122633,0.59344006,Mean increasing right-skewness.
India,2009,4.173085835,3.512020076,0.278258851,0.043692193,0.056042572,0.064331884,0.072172706,0.079877904,0.088630318,0.099342019,0.114732211,0.139128216,0.242049979,0.661065759,Meanright-skewness continues to grow.
India,2011,4.644221688,3.85636832,0.287768854,0.042496771,0.054803894,0.062872697,0.070747607,0.078660398,0.087841053,0.099279907,0.114884601,0.140389711,0.248023361,0.787853368,Meanstrong right-skewness observed.
India,2022,6.355092371,5.53649544,0.255149964,0.045106199,0.058481936,0.066945198,0.074811262,0.082848022,0.091787012,0.102513062,0.116774374,0.1394105,0.221322434,0.818596931,Meanpersistent skewness but distribution improving slightly.
,,,,,(Bottom 10% Income Share),,,,,,,,, (Top 10% Income Share),,
